"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"2/18/2018","Island Pacific Supermarket","ISLAND PACIFIC SUPE HAYWARD CA","22.55","debit","Groceries","Citi ThankYou Preferred","",""
"2/18/2018","Sharis Castro Valley","SHARIS OF CASTRO VALLEY 2CASTRO VALLEYCA","33.83","debit","Gas & Fuel","Citi ThankYou Preferred","",""
"2/18/2018","T-Mobile","T-MOBILE #8589 HAYWARD CA","21.93","debit","Mobile Phone","Citi ThankYou Preferred","",""
"2/18/2018","Milkcow Cafe","SQ *MILKCOW CAFE Castro ValleyCA","15.84","debit","Restaurants","Citi ThankYou Preferred","",""
"2/18/2018","Cv Car Wash","76 - 76 CV CAR WASH CASTRO VALLEYCA","23.75","debit","Service & Parts","Citi ThankYou Preferred","",""
"2/18/2018","Target","TARGET 00021857 HAYWARD CA","98.14","debit","Shopping","Citi ThankYou Preferred","",""
"2/17/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","52.27","debit","Shopping","Citi ThankYou Preferred","",""
"2/17/2018","Nordstrom","NORDSTROM #0430 PLEASANTON CA","17.10","debit","Clothing","Citi ThankYou Preferred","",""
"2/17/2018","Sharis Castro Valley","SHARIS OF CASTRO VALLEY 2CASTRO VALLEYCA","45.40","debit","Gas & Fuel","Citi ThankYou Preferred","",""
"2/17/2018","LEGO","THE LEGO STORE PLEASANTON CA","10.91","debit","Toys","Citi ThankYou Preferred","",""
"2/17/2018","Starbucks","STARBUCKS 800-782-7282 WA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/17/2018","Nordstrom","NORDSTROM #0430 PLEASANTON CA","63.86","debit","Clothing","Citi ThankYou Preferred","",""
"2/17/2018","Castro Valley Tow","CASTRO VALLEY TIRE PRO CASTRO VALLEYCA","540.36","debit","Service & Parts","Citi ThankYou Preferred","",""
"2/16/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","23.54","debit","Shopping","Citi ThankYou Preferred","",""
"2/16/2018","El Gondo","SQ *EL GONDO SOUTH SAN FRACA","14.38","debit","Fast Food","Citi ThankYou Preferred","",""
"2/16/2018","Online Thank You","ONLINE PAYMENT, THANK YOU","7272.71","credit","Credit Card Payment","Citi ThankYou Preferred","",""
"2/16/2018","7-Eleven","7-ELEVEN 35063 S. SAN FRANCICA","30.96","debit","Fast Food","Citi ThankYou Preferred","",""
"2/16/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/16/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/16/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/16/2018","7-Eleven","7-ELEVEN 35063 S. SAN FRANCICA","3.74","debit","Fast Food","Citi ThankYou Preferred","",""
"2/16/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...5432 transaction#: 6908195657 02/16","2000.00","debit","Transfer","TOTAL CHECKING","",""
"2/16/2018","Transfer from TOTAL CHECKING","Online Transfer from  CHK ...5432 transaction#: 6829600324","25.00","credit","Transfer","TOTAL CHECKING","",""
"2/16/2018","Account Maintenance Fee","MONTHLY SERVICE FEE","12.00","debit","Bank Fee","TOTAL CHECKING","",""
"2/16/2018","Citi Autopay Web","CITI AUTOPAY     PAYMENT    082569593062189 WEB ID: CITICARDAP","188.75","debit","Bills & Utilities","TOTAL CHECKING","",""
"2/16/2018","Great Lakes Student","GREAT LAKES      STUDENT LNPPD ID: 9102000901","239.34","debit","Student Loan","TOTAL CHECKING","",""
"2/16/2018","Transfer from CHASE PLUS SAVINGS","Online Transfer from MMA ...9412transaction#: 6908195657","2000.00","credit","Transfer","TOTAL CHECKING","",""
"2/16/2018","Transfer to CHASE PLUS SAVINGS","Online Transfer to  MMA ...9412transaction#: 6829600324 02/16","25.00","debit","Transfer","TOTAL CHECKING","",""
"2/15/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/15/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/15/2018","Autopay Rautopay Auto","AUTOPAY 999990000084274RAUTOPAY AUTO-PMT","188.75","credit","Credit Card Payment","Citi ThankYou Preferred","",""
"2/15/2018","Starbucks","STARBUCKS 800-782-7282 WA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/15/2018","IHOP","IHOP #0601 HAYWARD CA","34.50","debit","Restaurants","Citi ThankYou Preferred","",""
"2/15/2018","Lazy Dog Restaurant","LAZY DOG RESTAURANT 15 DUBLIN CA","68.34","debit","Restaurants","Citi ThankYou Preferred","",""
"2/15/2018","Popeye's","POPEYE'S CHICKEN SOUTH SAN FANCA","14.50","debit","Restaurants","Citi ThankYou Preferred","",""
"2/15/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","6.87","debit","Shopping","Citi ThankYou Preferred","",""
"2/15/2018","CBS All Access","CBS ALL ACCESS 08882745343 CA","9.99","debit","Television","Citi ThankYou Preferred","",""
"2/15/2018","Fearless Martial Arts Academy LLC","FEARLESS MARTIAL ARTS A 925-6833281 CA","129.00","debit","Tuition","Citi ThankYou Preferred","",""
"2/15/2018","Starbucks","STARBUCKS STORE 05483 HAYWARD CA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/15/2018","Arco","ARCO 7119 MILLBRAE CA02/15","4.03","debit","Gas & Fuel","TOTAL CHECKING","",""
"2/15/2018","Arco","ARCO 7119 MILLBRAE CA02/15","24.66","debit","Gas & Fuel","TOTAL CHECKING","",""
"2/14/2018","Wendy's","WENDYS #5780 S SAN FRAN CA","9.38","debit","Fast Food","Citi ThankYou Preferred","",""
"2/14/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/14/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/14/2018","Starbucks","STARBUCKS 800-782-7282 WA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/14/2018","Starbucks","STARBUCKS 800-782-7282 WA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/14/2018","Safeway","SAFEWAY #3010 CASTRO VALLEYCA","17.58","debit","Groceries","Citi ThankYou Preferred","",""
"2/14/2018","Transfer to TOTAL CHECKING","ODP TRANSFER TO CHECKING  000000130055053","14.99","debit","Transfer","TOTAL CHECKING","",""
"2/14/2018","Transfer from CHASE PLUS SAVINGS","ODP TRANSFER FROM SAVINGS 000004356239412","14.99","credit","Transfer","TOTAL CHECKING","",""
"2/14/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         02/13","14.99","debit","Music","TOTAL CHECKING","",""
"2/14/2018","Target","TARGET CARD SRVC AUTO PYMT  777700053458384 WEB ID: 1411721813","10.82","debit","Shopping","TOTAL CHECKING","",""
"2/13/2018","Carl's Jr","CARL'S JR 705 FOSTER CITY CA","11.20","debit","Fast Food","Citi ThankYou Preferred","",""
"2/13/2018","IHOP","IHOP #0601 HAYWARD CA","30.44","debit","Restaurants","Citi ThankYou Preferred","",""
"2/13/2018","Starbucks","STARBUCKS 800-782-7282 WA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/13/2018","Rite Aid","RITE AID STORE - 5922 CASTRO VALLEYCA","57.89","debit","Pharmacy","Citi ThankYou Preferred","",""
"2/13/2018","Lazy Dog Restaurant","LAZY DOG RESTAURANT 15 DUBLIN CA","41.23","debit","Restaurants","Citi ThankYou Preferred","",""
"2/13/2018","Lowe's","LOWES #02273* DUBLIN CA","17.09","debit","Home Improvement","Citi ThankYou Preferred","",""
"2/13/2018","Foster City Touchless","FOSTER CITY TOUCHLESS CA FOSTER CITY CA","32.27","debit","Gas & Fuel","Citi ThankYou Preferred","",""
"2/13/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/13/2018","Target","TARGET 00027714 DUBLIN CA","50.73","debit","Shopping","Citi ThankYou Preferred","",""
"2/13/2018","Canteen Vending","CMSVEND*CV BAY AREA VEND SAN JOSE CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/13/2018","Canteen Vending","CMSVEND*CV BAY AREA VEND SAN JOSE CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/13/2018","Canteen Vending","CMSVEND*CV BAY AREA VEND SAN JOSE CA","0.95","debit","Fast Food","Citi ThankYou Preferred","",""
"2/13/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","15.23","debit","Shopping","Citi ThankYou Preferred","",""
"2/13/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.85","debit","Fast Food","Citi ThankYou Preferred","",""
"2/13/2018","Wendy's","WENDYS #5780 S SAN FRAN CA","9.06","debit","Fast Food","Citi ThankYou Preferred","",""
"2/13/2018","Interest","INTEREST PAYMENT","0.11","credit","Interest Income","TOTAL CHECKING","",""
"2/13/2018","Savings Withdrawal Limit","SAVINGS WITHDRAWAL LIMIT FEE","5.00","debit","Fees & Charges","TOTAL CHECKING","",""
"2/13/2018","Transfer to TOTAL CHECKING","ODP TRANSFER TO CHECKING  000000130055053","1.99","debit","Transfer","TOTAL CHECKING","",""
"2/13/2018","Transfer from CHASE PLUS SAVINGS","ODP TRANSFER FROM SAVINGS 000004356239412","1.99","credit","Transfer","TOTAL CHECKING","",""
"2/13/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         02/12","1.99","debit","Music","TOTAL CHECKING","",""
"2/12/2018","Wendy's","WENDYS #5780 S SAN FRAN CA","9.38","debit","Fast Food","Citi ThankYou Preferred","",""
"2/12/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/12/2018","Safeway","SAFEWAY #3010 CASTRO VALLEYCA","220.67","debit","Groceries","Citi ThankYou Preferred","",""
"2/12/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/12/2018","Transfer to TOTAL CHECKING","ODP TRANSFER TO CHECKING  000000130055053","86.41","debit","Transfer","TOTAL CHECKING","",""
"2/12/2018","Savings Withdrawal Limit","SAVINGS WITHDRAWAL LIMIT FEE","5.00","debit","Fees & Charges","TOTAL CHECKING","",""
"2/12/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         02/10","1.99","debit","Music","TOTAL CHECKING","",""
"2/12/2018","Uber.com","UBER   *EATS VRRP4 800-592-8996CA           02/10","42.18","debit","Rental Car & Taxi","TOTAL CHECKING","",""
"2/12/2018","Uber.com","UBER   *EATS W7RBM 800-592-8996CA           02/10","41.25","debit","Rental Car & Taxi","TOTAL CHECKING","",""
"2/12/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         02/10","0.99","debit","Music","TOTAL CHECKING","",""
"2/12/2018","Transfer from CHASE PLUS SAVINGS","ODP TRANSFER FROM SAVINGS 000004356239412","86.41","credit","Transfer","TOTAL CHECKING","",""
"2/12/2018","American Express","AMERICAN EXPRESS ACH PMT    M0166           WEB ID: 2005032111","1198.64","debit","Credit Card Payment","TOTAL CHECKING","",""
"2/12/2018","Arco","ARCO 7119 MILLBRAE CA02/10","29.09","debit","Gas & Fuel","TOTAL CHECKING","",""
"2/11/2018","Barnes & Noble","BARNES & NOBLE #2942 DUBLIN CA","41.07","debit","Books","Citi ThankYou Preferred","",""
"2/11/2018","Uber.com","UBER EATS JVOGW HELP.UBER.COMCA","33.94","debit","Rental Car & Taxi","Citi ThankYou Preferred","",""
"2/11/2018","Lazy Dog Restaurant","LAZY DOG RESTAURANT 15 DUBLIN CA","80.28","debit","Restaurants","Citi ThankYou Preferred","",""
"2/11/2018","Sebmf Online Bill","SEBMF ONLINE BILL PAY SACRAMENTO CA","134.00","debit","Bills & Utilities","Citi ThankYou Preferred","",""
"2/11/2018","Cv Car Wash","76 - 76 CV CAR WASH CASTRO VALLEYCA","28.95","debit","Service & Parts","Citi ThankYou Preferred","",""
"2/10/2018","Cafe Rumi","CAFE RUMI CASTRO VALLEYCA","30.15","debit","Restaurants","Citi ThankYou Preferred","",""
"2/10/2018","Subway","SUBWAY 00596692 PLEASANTON CA","9.55","debit","Fast Food","Citi ThankYou Preferred","",""
"2/10/2018","BJ's Restaurant","BJ'S RESTAURANTS 524 DUBLIN CA","51.46","debit","Restaurants","Citi ThankYou Preferred","",""
"2/10/2018","Target","TARGET 00003285 DUBLIN CA","106.15","debit","Shopping","Citi ThankYou Preferred","",""
"2/10/2018","Jack in the Box","JACK IN THE BOX 0405 HAYWARD CA","7.45","debit","Fast Food","Citi ThankYou Preferred","",""
"2/10/2018","Applebees","APPLEBEES HACI21110200 DUBLIN CA","60.72","debit","Restaurants","Citi ThankYou Preferred","",""
"2/10/2018","Haha Ramen Sushi","HAHA RAMEN SUSHI HAYWARD CA","46.15","debit","Restaurants","Citi ThankYou Preferred","",""
"2/10/2018","Starbucks","STARBUCKS 800-782-7282 WA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/10/2018","Denica's Real Food Kitchen","DENICAS REAL FOOD KITCHENCASTRO VALLEYCA","56.30","debit","Restaurants","Citi ThankYou Preferred","",""
"2/09/2018","Starbucks","STARBUCKS 800-782-7282 WA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/09/2018","Starbucks","STARBUCKS 800-782-7282 WA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/09/2018","Costco","COSTCO WHSE #0422 SOUTH SAN FRACA","35.62","debit","Shopping","Citi ThankYou Preferred","",""
"2/09/2018","Linkage Bioscien Payroll","LINKAGE BIOSCIEN PAYROLLPPD ID: 9002417086","2666.84","credit","Paycheck","TOTAL CHECKING","",""
"2/09/2018","Linkage Bioscien Payroll","LINKAGE BIOSCIEN PAYROLLPPD ID: 9002417086","280.60","credit","Paycheck","TOTAL CHECKING","",""
"2/09/2018","Specialist Staff Payroll","SPECIALIST STAFF PAYROLLPPD ID: 9008278637","3625.31","credit","Paycheck","TOTAL CHECKING","",""
"2/08/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/08/2018","IHOP","IHOP #0601 HAYWARD CA","41.95","debit","Restaurants","Citi ThankYou Preferred","",""
"2/08/2018","Fandango","ROKU FOR FANDANGONOW 816-272-8106 CA","17.99","debit","Movies & DVDs","Citi ThankYou Preferred","",""
"2/08/2018","7-Eleven","7-ELEVEN 35063 S. SAN FRANCICA","30.26","debit","Fast Food","Citi ThankYou Preferred","",""
"2/08/2018","Starbucks","STARBUCKS 800-782-7282 WA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/08/2018","Popeye's","POPEYE'S CHICKEN SOUTH SAN FANCA","11.57","debit","Restaurants","Citi ThankYou Preferred","",""
"2/08/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","27.34","debit","Shopping","Citi ThankYou Preferred","",""
"2/08/2018","Lazy Dog Restaurant","LAZY DOG RESTAURANT 15 DUBLIN CA","60.07","debit","Restaurants","Citi ThankYou Preferred","",""
"2/08/2018","Target","TARGET 00003285 DUBLIN CA","205.15","debit","Shopping","Citi ThankYou Preferred","",""
"2/08/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.85","debit","Fast Food","Citi ThankYou Preferred","",""
"2/08/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/08/2018","Savings Withdrawal Limit","SAVINGS WITHDRAWAL LIMIT FEE","5.00","debit","Fees & Charges","TOTAL CHECKING","",""
"2/08/2018","Transfer to TOTAL CHECKING","ODP TRANSFER TO CHECKING  000000130055053","49.94","debit","Transfer","TOTAL CHECKING","",""
"2/08/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         02/08","30.96","debit","Music","TOTAL CHECKING","",""
"2/08/2018","Mercari Ca","MERCARI 415-8002034 CA02/08","5.00","debit","Clothing","TOTAL CHECKING","",""
"2/08/2018","Transfer from CHASE PLUS SAVINGS","ODP TRANSFER FROM SAVINGS 000004356239412","49.94","credit","Transfer","TOTAL CHECKING","",""
"2/08/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         02/07","13.98","debit","Music","TOTAL CHECKING","",""
"2/08/2018","Crow Canyon 76","CROW CANYON CRK  01520155PPD ID: H942931438","486.00","debit","Gas & Fuel","TOTAL CHECKING","",""
"2/07/2018","T-Mobile","TMOBILE*AUTO PAY 800-937-8997 WA","368.12","debit","Mobile Phone","Citi ThankYou Preferred","",""
"2/07/2018","El Farolito","EL FAROLITO SOUTH SAN FRACA","22.85","debit","Restaurants","Citi ThankYou Preferred","",""
"2/07/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/07/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/07/2018","Dryclean","DRYCLEAN 580 CASTRO VALLEYCA","6.91","debit","Laundry","Citi ThankYou Preferred","",""
"2/07/2018","Canteen Vending","CMSVEND*CV BAY AREA VEND SAN JOSE CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/07/2018","So San Francisco","SO SAN FRANCISCO PARKING SOUTH SAN FRACA","1.00","debit","Parking","Citi ThankYou Preferred","",""
"2/07/2018","Great Clips","5265 GREAT CLIPS AT 580 MCASTRO VALLEYCA","22.00","debit","Hair","Citi ThankYou Preferred","",""
"2/07/2018","Interest Charge","PURCHASE INTEREST CHARGE","2.67","debit","Finance Charge","CREDIT CARD","",""
"2/06/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/06/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/06/2018","Google Storage","GOOGLE *Google Storage 855-836-3987 CA","1.99","debit","Internet","Citi ThankYou Preferred","",""
"2/06/2018","Starbucks","STARBUCKS 800-782-7282 WA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/06/2018","Wendy's","WENDY'S #8 CASTRO VALLEYCA","8.61","debit","Fast Food","Citi ThankYou Preferred","",""
"2/06/2018","W&W South America Bbq","W&W SOUTH AMERICA BBQ HAYWARD CA","21.46","debit","Restaurants","Citi ThankYou Preferred","",""
"2/06/2018","Castro Valley Tow","CASTRO VALLEY TIRE PRO CASTRO VALLEYCA","265.49","debit","Service & Parts","Citi ThankYou Preferred","",""
"2/06/2018","Sebmf Lake Chabot","SEBMF LAKE CHABOT MF CASTRO VALLEYCA","10.00","debit","Doctor","Citi ThankYou Preferred","",""
"2/06/2018","Lazy Dog Restaurant","LAZY DOG RESTAURANT 15 DUBLIN CA","80.77","debit","Restaurants","Citi ThankYou Preferred","",""
"2/06/2018","Safeway","SAFEWAY #3010 CASTRO VALLEYCA","2.17","debit","Groceries","Citi ThankYou Preferred","",""
"2/06/2018","Sebmf Lake Chabot","SEBMF LAKE CHABOT MF CASTRO VALLEYCA","10.00","debit","Doctor","Citi ThankYou Preferred","",""
"2/06/2018","7-Eleven","7-ELEVEN 35063 S. SAN FRANCICA","6.68","debit","Fast Food","Citi ThankYou Preferred","",""
"2/06/2018","ATM Fee","NON-CHASE ATM WITHDRAW317757  02/064055 E CA","3.00","debit","ATM Fee","TOTAL CHECKING","",""
"2/06/2018","ATM Withdrawal","NON-CHASE ATM WITHDRAW317757  02/064055 E CA","20.00","debit","Cash & ATM","TOTAL CHECKING","",""
"2/06/2018","Transfer to TOTAL CHECKING","ODP TRANSFER TO CHECKING  000000130055053","16.47","debit","Transfer","TOTAL CHECKING","",""
"2/06/2018","Savings Withdrawal Limit","SAVINGS WITHDRAWAL LIMIT FEE","5.00","debit","Fees & Charges","TOTAL CHECKING","",""
"2/06/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         02/05","13.97","debit","Music","TOTAL CHECKING","",""
"2/06/2018","Mercari Ca","MERCARI 415-8002034 CA02/06","17.00","debit","Clothing","TOTAL CHECKING","",""
"2/06/2018","Transfer from CHASE PLUS SAVINGS","ODP TRANSFER FROM SAVINGS 000004356239412","16.47","credit","Transfer","TOTAL CHECKING","",""
"2/06/2018","Transfer from TOTAL CHECKING","Online Transfer from CHK ...5432transaction#: 6884177072","40.00","credit","Transfer","TOTAL CHECKING","",""
"2/06/2018","ATM Fee","NON-CHASE ATM FEE-WITH","2.50","debit","ATM Fee","TOTAL CHECKING","",""
"2/06/2018","Transfer to TOTAL CHECKING","Online Transfer to CHK ...5053 transaction#: 6884177072 02/06","40.00","debit","Transfer","TOTAL CHECKING","",""
"2/05/2018","Ba Cove","BA AT THE COVE53314084 SOUTH SAN FRACA","19.40","debit","Restaurants","Citi ThankYou Preferred","",""
"2/05/2018","Daily Grind","SQ *THE DAILY GRIND Hayward CA","7.20","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/05/2018","7-Eleven","7-ELEVEN 35063 S. SAN FRANCICA","5.23","debit","Fast Food","Citi ThankYou Preferred","",""
"2/05/2018","USPS","USPS KIOSK 0533369550 HAYWARD CA","10.00","debit","Shipping","Citi ThankYou Preferred","",""
"2/05/2018","Eden Medical Center","EDEN MEDICAL CENTER CASTRO VALLEYCA","100.00","debit","Health & Fitness","Citi ThankYou Preferred","",""
"2/05/2018","7-Eleven","7-ELEVEN 35063 S. SAN FRANCICA","29.50","debit","Fast Food","Citi ThankYou Preferred","",""
"2/05/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/05/2018","Island Pacific Supermarket","ISLAND PACIFIC SUPE HAYWARD CA","22.53","debit","Groceries","Citi ThankYou Preferred","",""
"2/05/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/05/2018","Haha Ramen Sushi","HAHA RAMEN SUSHI HAYWARD CA","41.46","debit","Restaurants","Citi ThankYou Preferred","",""
"2/05/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.85","debit","Fast Food","Citi ThankYou Preferred","",""
"2/05/2018","Walgreens","WALGREENS #4659 HAYWARD CA","8.79","debit","Pharmacy","Citi ThankYou Preferred","",""
"2/05/2018","Starbucks","STARBUCKS STORE 06474 PLEASANTON CA","3.90","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/05/2018","Transfer to TOTAL CHECKING","ODP TRANSFER TO CHECKING  000000130055053","146.64","debit","Transfer","TOTAL CHECKING","",""
"2/05/2018","Savings Withdrawal Limit","SAVINGS WITHDRAWAL LIMIT FEE","5.00","debit","Fees & Charges","TOTAL CHECKING","",""
"2/05/2018","Transfer from CHASE PLUS SAVINGS","ODP TRANSFER FROM SAVINGS 000004356239412","146.64","credit","Transfer","TOTAL CHECKING","",""
"2/05/2018","BJ's Restaurant","DOORDASH-BJS RESTAURAN 6506819470 CA         02/02","89.31","debit","Restaurants","TOTAL CHECKING","",""
"2/05/2018","iTunes","APL* ITUNES.COM/BILL 866-712-7753 CA         02/02","0.99","debit","Music","TOTAL CHECKING","",""
"2/05/2018","Haha Ramen Sushi","DOORDASH-HAHA RAMEN SU 6506819470 CA         02/02","56.34","debit","Restaurants","TOTAL CHECKING","",""
"2/05/2018","Comcast","COMCAST          CABLEPPD ID: 0000213249","127.73","debit","Television","TOTAL CHECKING","",""
"2/05/2018","Chase Autopay Ppd","CHASE CREDIT CRD AUTOPAYPPD ID: 4760039224","25.00","debit","Bills & Utilities","TOTAL CHECKING","",""
"2/04/2018","Rite Aid","RITE AID STORE - 5922 CASTRO VALLEYCA","32.34","debit","Pharmacy","Citi ThankYou Preferred","",""
"2/04/2018","Stoneridge Kids Pleasanton","STONERIDGE KIDS PLEASANTON CA","69.35","debit","Clothing","Citi ThankYou Preferred","",""
"2/04/2018","Godiva","GODIVA 231 PLEASANTON CA","6.00","debit","Gift","Citi ThankYou Preferred","",""
"2/04/2018","Applebees","APPLEBEES HACI21110200 DUBLIN CA","39.70","debit","Restaurants","Citi ThankYou Preferred","",""
"2/04/2018","The Counter","THE COUNTER PLEASANTON PLEASANTON CA","77.77","debit","Food & Dining","Citi ThankYou Preferred","",""
"2/04/2018","CARE.com","STRP*CARE.COM PAYMENTS STRIPE.COM MA","59.30","debit","Doctor","Citi ThankYou Preferred","",""
"2/04/2018","Jack in the Box","JACK IN THE BOX 0419 CASTRO VALLEYCA","20.65","debit","Fast Food","Citi ThankYou Preferred","",""
"2/04/2018","Transfer from Hilton Honors Ascend Card","AUTOMATIC PAYMENT - THANK","25.00","credit","Credit Card Payment","CREDIT CARD","",""
"2/03/2018","Amazon","AMAZON MKTPLACE PMTS AMZN.COM/BILLWA","51.19","debit","Shopping","Citi ThankYou Preferred","",""
"2/03/2018","Safeway","SAFEWAY #3010 CASTRO VALLEYCA","236.19","debit","Groceries","Citi ThankYou Preferred","",""
"2/03/2018","Starbucks","STARBUCKS 800-782-7282 WA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/03/2018","Lazy Dog Restaurant","LAZY DOG RESTAURANT 15 DUBLIN CA","72.83","debit","Restaurants","Citi ThankYou Preferred","",""
"2/03/2018","Nations Giant","NATIONS GIANT 28 CASTRO VALLEYCA","21.74","debit","Fast Food","Citi ThankYou Preferred","",""
"2/03/2018","Girl Scouts","SQ *GIRL SCOUTS TROOP 308Castro ValleyCA","30.00","debit","Gifts & Donations","Citi ThankYou Preferred","",""
"2/03/2018","Costco Gas","COSTCO GAS #0422 SOUTH SAN FRACA","30.00","debit","Gas & Fuel","Citi ThankYou Preferred","",""
"2/03/2018","Defenderrazor.com Ca","DEFENDERRAZOR.COM 310-827-3555 CA","14.13","debit","Personal Care","Citi ThankYou Preferred","",""
"2/03/2018","Mountain Mike's Pizza","MOUNTAIN MIKES PIZZA CASTMOUNTAINMIKESCA","59.00","debit","Fast Food","Citi ThankYou Preferred","",""
"2/02/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/02/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/02/2018","Wal-Mart","WAL-MART #2161 PLEASANTON CA","68.71","credit","Shopping","Citi ThankYou Preferred","",""
"2/02/2018","Starbucks","STARBUCKS 800-782-7282 WA","10.00","debit","Coffee Shops","Citi ThankYou Preferred","",""
"2/02/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.60","debit","Fast Food","Citi ThankYou Preferred","",""
"2/02/2018","Canteen Vending","USA*CANTEEN VENDING SAN LEANDRO CA","0.85","debit","Fast Food","Citi ThankYou Preferred","",""
"2/02/2018","USPS","USPS KIOSK 0533379551 CASTRO VALLEYCA","5.45","debit","Shipping","Citi ThankYou Preferred","",""
"2/02/2018","Ba Cove","BA AT THE COVE53314084 SOUTH SAN FRACA","21.95","debit","Restaurants","Citi ThankYou Preferred","",""
"2/02/2018","Applebees","APPLEBEES HACI21110200 DUBLIN CA","38.31","debit","Restaurants","Citi ThankYou Preferred","",""
